#Thu Aug 29 15:26:49 2024
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV                2              13               4              10
              59              37           6.854
              60          -42.53           6.084
              61          -16.74           8.105
              62           20.68           8.152
              63           71.59           8.948
              64          -62.88           11.17
              65          -0.404           8.775
              66           9.758           10.36
              67           17.89           9.341
              68          -74.92           8.165
              69           -19.9           6.418
              70           23.52           8.134
              71           40.13           7.258
              72           -52.1           9.023
              73          -6.045           7.476
              74            15.8            8.43
              75           79.01           8.949
              76          -18.65           8.576
              77          -22.11           5.758
              78           28.44           8.432
              79           78.15            9.72
              80          -89.05           10.37
              81          -32.98           6.105
              82          -1.339           9.523
              83           26.77           6.802
              84          -59.84            7.17
              85          -6.984           6.086
              86           30.61           7.558
              87           42.89            6.64
              88          -36.36           6.722
              89          -24.85           6.773
              90            4.97           6.751
              91           80.52           7.722
              92          -29.12           8.654
              93          -31.15            9.44
              94           29.77           6.876
              95           90.23           9.343
              96          -85.21           9.971
              97           -16.6           6.403
              98            3.61           8.711
              99           35.16           8.375
             100          -71.11           8.076
             101          -32.82           6.011
             102           16.17           7.629
             103           72.91           7.197
             104          -49.43            8.21
             105            2.12            6.66
             106           39.23           7.441
             107           84.11           8.686
             108          -31.14           6.724
             109           19.38           6.482
             110           49.33           7.009
             111           103.5           9.888
             112          -76.63           10.12
             113          -9.606           6.773
             114           37.68           9.065
             115           49.51           7.483
             116          -69.24           9.161
             117           7.997           5.907
             118           14.64           7.097
             119           53.54           6.563
             120          -44.81           7.191
             121         -0.7994            7.84
             122           26.51            7.61
             123           53.56           9.176
             124          -28.79           7.659
             125           5.816           10.92
             126           20.49           6.902
             127           128.6           9.937
APV                2              13               5              12
               0             186           39.48
               1          -12.22           33.12
               2          -24.93           30.85
               3          -24.63           29.66
               4          -147.3           13.14
               5          -72.36            8.48
               6          -33.62           8.963
               7          -13.33           7.771
               8          -47.46           7.755
               9          -37.84           6.522
              10          -14.57           7.259
              11           28.25           7.304
              12          -33.17           7.866
